   4,    307,   3202,   3311
  12,   1116,   2369,   2279
   8,    773,   5194,   5184
   9,    846,  -2491,  -2451
  10,    984,  -2050,  -2009
   9,    916,   3850,   3799
  12,   1133,   3405,   3395
  12,   1155,  -3405,  -3425
  11,   1110,  -7946,  -7952
   1,    139,   6268,   6277
   9,    867,   5701,   5730
  12,   1208,   7094,   7131
   8,    792,   3039,   2983
  13,   1322,  -6709,  -6695
  13,   1266,   6709,   6729
  10,   1007,   6912,   6931
  12,   1191,   7094,   7079
   8,    769,   7135,   7117
   3,    274,   4990,   4970
   8,    704,    368,    324
   8,    769,   7135,   7132
  10,    956,   7338,   7374
   8,    747,  -1057,  -1086
   8,    715,   2050,   2112
   9,    862,  -5701,  -5725
  10,    965,   4990,   4935
   6,    520,  -4667,  -4797
  10,   1016,   6146,   6172
  10,   1014,   2816,   2710
   6,    520,  -4667,  -4636
  12,   1205,   2998,   2935
  12,   1129,   -691,   -689
  13,   1293,   6709,   6704
  12,   1158,   4787,   4819
   5,    508,   4667,   4666
   8,    770,  -5153,  -5155
   8,    700,   7824,   7864
  13,   1288,  -2613,  -2527
  10,    978,  -4950,  -4926
   6,    522,  -4667,  -4467
   1,    138,   2172,   1824
  12,   1103,  -4342,  -4347
   8,    684,    368,    452
  12,   1219,   1138,   1114
   6,    504,   7621,   7681
  10,    922,  -3202,  -3237
  12,   1099,   7946,   7956
   5,    500,  -7621,  -7655
   6,    575,  -1361,  -1512
  13,   1313,   2613,   2563
   9,    917,  -3810,  -3665
  12,   1201,   7094,   7028
   6,    542,   7621,   7702
  12,   1147,   3405,   3357
   9,    925,    286,    433
   8,    728,  -7824,  -7789
   4,    421,   6187,   6320
   5,    527,    571,    574
  12,   1136,   5823,   5878
   9,    824,  -1605,  -1695
  10,    994,   2050,   1987
   6,    495,   3525,   3608
  10,   1021,   5416,   5440
   6,    508,  -4667,  -4833
   3,    313,  -7298,  -7449
  10,    969,    894,    821
  10,   1057,  -6872,  -6885
  13,   1299,   1483,   1470
  12,   1204,   5234,   5165
  10,    955,   -854,   -843
   6,    590,   6831,   6811
   3,    328,  -3202,  -3237
  12,   1162,   -691,   -686
   8,    779,  -1057,  -1023
   8,    704,   -368,   -319
   3,    320,  -7298,  -7242
  12,   1185,  -1098,  -1121
  12,   1203,  -7054,  -7107
  12,   1085,  -4342,  -4358
  12,   1122,    691,    668
  12,   1138,  -2369,  -2356
   8,    716,   6146,   6062
   8,    748,  -1057,  -1047
  10,    953,   3242,   3252
  12,   1143,   3405,   3368
   3,    313,    894,    992
   4,    307,   3202,   3231
  12,   1209,  -2958,  -3031
  10,    959,   7338,   7385
  12,   1100,   7946,   7938
   9,    854,  -1605,  -1541
  12,   1124,  -4342,  -4386
   6,    501,   7621,   7816
  10,   1046,   6912,   6875
   8,    724,   2050,   2064
  12,   1111,   -691,   -708
  12,   1142,  -2369,  -2360
   9,    833,   5701,   5733
  11,   1103,   4342,   4336
  10,    964,    894,    758
  13,   1319,   5579,   5550
  12,   1192,  -5194,  -5186
   9,    868,  -3810,  -3822
  10,   1012,   5416,   5362
   8,    775,  -2998,  -3020
   8,    752,  -2998,  -2958
  13,   1285,   1483,   1501
  10,    983,  -7298,  -7397
  12,   1139,   1727,   1750
   9,    894,  -3810,  -3862
   9,    866,   2491,   2476
  10,    939,   -854,   -828
   1,    141,   2172,   1956
   5,    509,  -7621,  -7843
   8,    788,   7135,   7115
   6,    571,  -2735,  -2652
  10,    947,  -4950,  -4960
  10,   1028,  -6872,  -6835
   9,    885,   7946,   7876
   8,    722,  -7824,  -7881
   4,    307,   -894,   -813
   1,    153,   2172,   1770
  11,   1090,   4342,   4352
   8,    760,  -7094,  -7089
  11,   1094,  -3850,  -3933
   9,    842,   6587,   6587
  12,   1160,   1727,   1736
  12,   1161,  -1727,  -1758
   5,    495,   4667,   4638
   8,    761,   7135,   7150
  13,   1290,  -5579,  -5538
   8,    691,   2050,   2120
  10,   1037,   6912,   6874
  12,   1203,   5234,   5231
   4,    445,   6187,   6028
  12,   1210,  -7054,  -7076
   6,    492,   7621,   7669
   4,    406,  -6105,  -6152
   8,    685,  -2050,  -2142
   9,    866,   1605,   1577
   9,    907,   4382,   4430
  11,   1092,    246,    184
   1,    168,  -5943,  -6473
   8,    732,   7824,   7860
   9,    914,   3850,   3802
   9,    851,  -2491,  -2457
   9,    848,   6587,   6601
   8,    723,   2050,   2049
   1,    117,   6268,   6177
  12,   1174,  -1098,  -1113
  10,   1052,   1320,   1309
  13,   1298,   2613,   2608
  12,   1191,  -1098,  -1209
  10,   1040,   1320,   1291
   9,    913,   7946,   7912
  12,   1119,  -6465,  -6426
   6,    586,   1361,   1524
  10,    986,   6912,   6870
  12,   1151,   5823,   5728
  12,   1079,   3850,   3861
  10,   1013,  -2050,  -2072
  10,   1023,   1320,   1424
  13,   1332,  -6709,  -6681
   4,    444,   6187,   6264
   5,    493,  -7621,  -7681
   8,    749,   2050,   2066
  12,   1159,   6465,   6407
   6,    599,   2735,   2683
   9,    894,   -246,   -204
  10,   1031,  -6146,  -6147
  13,   1330,  -6709,  -6711
   8,    724,   7824,   7805
   8,    727,   6146,   6089
  12,   1160,   4787,   4748
  12,   1134,  -3405,  -3403
  13,   1290,   6709,   6723
   9,    850,  -6587,  -6624
  10,    929,  -3202,  -3285
   8,    694,  -4464,  -4481
   5,    524,   4667,   4506
  10,    955,   3242,   3323
   6,    530,  -4667,  -4511
   6,    563,  -2735,  -2656
   8,    704,   2050,   1983
  12,   1235,   1138,   1061
   8,    762,   5194,   5207
  10,    959,  -3202,  -3223
  12,   1202,   5234,   5270
  10,    993,   2050,   2011
  10,    983,  -2050,  -2059
   8,    782,  -2998,  -3062
   6,    537,  -4667,  -4615
  10,   1022,   2816,   2796
   9,    915,  -4342,  -4330
   8,    687,   7824,   7792
   8,    773,  -5153,  -5053
  12,   1148,   6465,   6484
   9,    904,   7946,   7929
   8,    686,   7824,   7765
  10,   1037,   5416,   5411
  10,   1037,   2816,   2763
   9,    883,   5701,   5769
  12,   1188,  -1098,  -1116
  12,   1207,  -1098,  -1167
  10,   1033,  -1280,  -1302
  12,   1140,   5823,   5772
  10,   1016,  -5376,  -5402
   8,    716,  -5153,  -5088
  11,   1117,  -3850,  -3857
  10,    974,   -854,   -792
  10,    975,   6146,   6112
   8,    794,  -2998,  -3093
  12,   1160,   -691,   -680
   6,    570,  -1361,  -1420
  12,   1162,   2369,   2419
   6,    591,  -5457,  -5530
