Sample in Buffer,Sample in Window,TRIGGER,rx_test_i/system_ila_2/inst/net_slot_0_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_0_axis_tkeep[15:0],rx_test_i/system_ila_2/inst/net_slot_0_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_0_axis_tready,rx_test_i/system_ila_2/inst/net_slot_0_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_1_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_1_axis_tkeep[15:0],rx_test_i/system_ila_2/inst/net_slot_1_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_1_axis_tready,rx_test_i/system_ila_2/inst/net_slot_1_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_2_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_2_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_2_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_3_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_3_axis_tstrb[15:0],rx_test_i/system_ila_2/inst/net_slot_3_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_3_axis_tready,rx_test_i/system_ila_2/inst/net_slot_3_axis_tlast,rx_test_i/system_ila_2/inst/net_slot_4_axis_tdata[127:0],rx_test_i/system_ila_2/inst/net_slot_4_axis_tstrb[15:0],rx_test_i/system_ila_2/inst/net_slot_4_axis_tvalid,rx_test_i/system_ila_2/inst/net_slot_4_axis_tready,rx_test_i/system_ila_2/inst/net_slot_4_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],Interface_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s2)_(tlast_gen_0_m_axis)[2:0],Interface_(i1:s3)_(cfo_correction_0_m_axis)[2:0],Interface_(i1:s4)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(tlast_gen_0_m_axis)[2:0],T_Channel_(i1:s3)_(cfo_correction_0_m_axis)[2:0],T_Channel_(i1:s4)_(axis_data_fifo_1_M_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
23,23,0,00000000080000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e30270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
24,24,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
25,25,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
26,26,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e70270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
27,27,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e2027003723280000232c,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
28,28,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
29,29,0,00000000080000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e30270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
30,30,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
31,31,0,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,dfff,1,0,0,00a20202000e20270037232800002328,0,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","_","_","_","_","No Streams","_","_","_","_"
32,32,1,00000000000000000000000000000000,0000,0,1,0,00a20202000e20270037232800002328,ffff,1,1,0,00a22302000e20270037232800002328,1,0,00000000000000000000000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","Active","_","_","No Streams","Stream Beat","Stream Beat","_","_"
33,33,0,00000000000000000000000000000000,0000,0,1,0,01822320014b23220137232c00482329,ffff,1,1,0,00a20202000e20270037232800402328,0,0,00000000000000001ee0000000000000,1111,0,1,0,00000000000000000000000000000000,0000,0,1,0,"Inactive","Active","_","_","_","No Streams","Stream Beat","_","_","_"
